add-yield-none,8,40,640,808131,1262,67
add-yield-none,12,40,960,977372,1018,85
add-yield-none,2,80,320,752732,2352,33
add-yield-none,4,80,640,1174954,1835,73
add-yield-none,8,80,1280,1324836,1035,69
add-yield-none,12,80,1920,1321840,688,130
add-yield-none,2,100,400,917261,2293,39
add-yield-none,4,100,800,1637052,2046,40
add-yield-none,8,100,1600,2099690,1312,98
add-yield-none,12,100,2400,2428467,1011,178
add-yield-none,2,1000,4000,12503151,3125,16
add-yield-none,4,1000,8000,12251614,1531,56
add-yield-none,8,1000,16000,12142001,758,-69
add-yield-none,12,1000,24000,13602840,566,318
add-yield-none,2,10000,40000,32323999,808,1272
add-yield-none,4,10000,80000,51254888,640,50
add-yield-none,8,10000,160000,76948066,480,3189
add-yield-none,12,10000,240000,82561257,344,-2165
add-yield-none,2,100000,400000,196698481,491,-37269
add-yield-none,4,100000,800000,277645530,347,-39007
add-yield-none,8,100000,1600000,523498192,327,33577
add-yield-none,12,100000,2400000,565015760,235,-9808
add-none,1,100,200,379311,1896,0
add-none,1,1000,2000,428655,214,0
add-none,1,10000,20000,593745,29,0
add-none,1,100000,200000,2725978,13,0
add-none,1,1000000,2000000,23788432,11,0
add-none,2,100,400,153002,382,0
add-none,2,1000,4000,189210,47,0
add-none,2,10000,40000,749134,18,-7681
add-none,2,100000,400000,8807254,22,-1436
add-none,2,1000000,4000000,71449309,17,-857030
add-none,4,100,800,229478,286,0
add-none,4,1000,8000,276046,34,199
add-none,4,10000,80000,1877817,23,-8665
add-none,4,100000,800000,17823158,22,-46676
add-none,4,1000000,8000000,174759469,21,-728791
add-yield-none,1,100,200,212727,1063,0
add-yield-none,1,1000,2000,1170798,585,0
add-yield-none,1,10000,20000,78579028,3928,0
add-yield-none,1,100000,200000,214005016,1070,0
add-yield-none,1,1000000,2000000,1386363310,693,0
add-yield-none,2,100,400,952852,2382,46
add-yield-none,2,1000,4000,1506524,376,-93
add-yield-none,2,10000,40000,40607720,1015,-6317
add-yield-none,2,100000,400000,280439852,701,-41137
add-yield-none,2,1000000,4000000,1828494610,457,-289684
add-yield-none,4,100,800,1424164,1780,13
add-yield-none,4,1000,8000,12647774,1580,76
add-yield-none,4,10000,80000,62968160,787,469
add-yield-none,4,100000,800000,549682547,687,-70008
add-yield-none,4,1000000,8000000,2162114787,270,-359359
add-yield-m,2,10000,40000,42998317,1074,0
add-yield-m,4,10000,80000,147814631,1847,0
add-yield-m,8,10000,160000,497060272,3106,0
add-yield-m,12,10000,240000,826453872,3443,0
add-yield-c,2,10000,40000,57781788,1444,0
add-yield-c,4,10000,80000,73230865,915,0
add-yield-c,8,10000,160000,212789700,1329,0
add-yield-c,12,10000,240000,296931163,1237,0
add-yield-s,2,10000,40000,60368189,1509,0
add-yield-s,4,10000,80000,103014292,1287,0
add-yield-s,8,1000,16000,47912411,2994,0
add-yield-s,12,1000,24000,41949028,1747,0
add-m,1,10000,20000,814552,40,0
add-m,2,10000,40000,5055905,126,0
add-m,4,10000,80000,20092467,251,0
add-m,8,10000,160000,62018279,387,0
add-m,12,10000,240000,110502373,460,0
add-c,1,10000,20000,508291,25,0
add-c,2,10000,40000,10680463,267,0
add-c,4,10000,80000,19931218,249,0
add-c,8,10000,160000,34953756,218,0
add-c,12,10000,240000,65332591,272,0
add-s,1,10000,20000,441724,22,0
add-s,2,10000,40000,10321639,258,0
add-s,4,10000,80000,15226426,190,0
add-s,8,10000,160000,76991290,481,0
add-s,12,10000,240000,118817682,495,0
add-none,2,100,400,167312,418,15
add-none,2,1000,4000,198136,49,-166
add-none,2,10000,40000,854118,21,-1727
add-none,2,100000,400000,6450998,16,-32619
add-none,4,100,800,174082,217,0
add-none,4,1000,8000,247215,30,78
add-none,4,10000,80000,1573326,19,134
add-none,4,100000,800000,13726366,17,-15251
add-none,8,100,1600,344293,215,0
add-none,8,1000,16000,469778,29,1
add-none,8,10000,160000,2899597,18,-1166
add-none,8,100000,1600000,28897256,18,-33578
add-none,12,100,2400,419220,174,0
add-none,12,1000,24000,607712,25,1044
add-none,12,10000,240000,4481904,18,212
add-none,12,100000,2400000,42114846,17,-11231
add-yield-none,2,10,40,223407,5585,0
add-yield-none,4,10,80,210204,2627,2
add-yield-none,8,10,160,293049,1831,1
add-yield-none,12,10,240,423706,1765,6
add-yield-none,2,20,80,173672,2170,0
add-yield-none,4,20,160,172492,1078,41
add-yield-none,8,20,320,310413,970,24
add-yield-none,12,20,480,416557,867,86
add-yield-none,2,40,160,188110,1175,9
add-yield-none,4,40,320,238270,744,22
add-yield-none,8,40,640,330358,516,110
add-yield-none,12,40,960,417329,434,157
add-yield-none,2,80,320,1401195,4378,0
add-yield-none,4,80,640,247861,387,68
add-yield-none,8,80,1280,373207,291,149
add-yield-none,12,80,1920,481554,250,236
add-yield-none,2,100,400,268033,670,8
add-yield-none,4,100,800,267563,334,65
add-yield-none,8,100,1600,395674,247,93
add-yield-none,12,100,2400,456632,190,254
add-yield-none,2,1000,4000,1417373,354,12
add-yield-none,4,1000,8000,1422071,177,52
