list-none-s,12,1000,8,36000,35234773,978,10089
list-none-s,1,1000,16,3000,721616,240,43
list-none-s,2,1000,16,6000,3070052,511,191
list-none-s,4,1000,16,12000,4542527,378,413
list-none-s,8,1000,16,24000,9026690,376,1480
list-none-s,12,1000,16,36000,15999987,444,3365
list-none-m,1,1000,4,3000,1188078,396,22
list-none-m,2,1000,4,6000,5398189,899,575
list-none-m,4,1000,4,12000,13128232,1094,2146
list-none-m,8,1000,4,24000,46449105,1935,11999
list-none-m,12,1000,4,36000,97561907,2710,30414
list-none-m,1,1000,8,3000,870476,290,23
list-none-m,2,1000,8,6000,3730016,621,323
list-none-m,4,1000,8,12000,7645108,637,864
list-none-m,8,1000,8,24000,20901241,870,3610
list-none-m,12,1000,8,36000,42113075,1169,9622
list-none-m,1,1000,16,3000,647694,215,24
list-none-m,2,1000,16,6000,2725333,454,201
list-none-m,4,1000,16,12000,4917955,409,470
list-none-m,8,1000,16,24000,11103650,462,1333
list-none-s,12,1000,16,36000,16241595,451,3473
